user_id,event_type,timestamp,screen,age,city,package
683,app_open,2025-04-09 07:15:00,home,20,Москва,premium
649,view_banner,2025-04-01 17:09:00,promo,68,Новосибирск,base
166,transfer,2025-04-09 13:11:00,transfers,64,Краснодар,base
1214,transfer,2025-04-06 19:05:00,transfers,30,Краснодар,base
693,transfer,2025-04-01 18:10:00,transfers,27,Екатеринбург,premium
1766,app_open,2025-04-03 09:12:00,home,28,Краснодар,base
668,app_open,2025-04-14 18:29:00,home,61,Краснодар,base
1587,click_banner,2025-04-23 15:49:00,promo,46,Нижний Новгород,base
1932,app_open,2025-04-29 17:23:00,home,42,Новосибирск,premium
524,app_open,2025-04-28 17:34:00,home,35,Екатеринбург,base
975,app_open,2025-04-12 09:31:00,home,27,Москва,base
1298,app_open,2025-04-15 10:51:00,home,53,Казань,base
1170,app_open,2025-04-29 21:54:00,home,38,Краснодар,base
1478,view_profile,2025-04-23 16:00:00,profile,51,Краснодар,base
1141,app_open,2025-04-03 22:39:00,home,22,Санкт-Петербург,premium
1129,transfer,2025-04-13 19:20:00,transfers,45,Казань,premium
1710,app_open,2025-04-03 21:17:00,home,22,Казань,base
586,app_open,2025-04-11 16:34:00,home,28,Краснодар,base
1573,app_open,2025-04-22 15:08:00,home,27,Казань,base
789,support_chat,2025-04-24 20:43:00,support,40,Нижний Новгород,premium
173,app_open,2025-04-11 20:07:00,home,25,Краснодар,base
1289,app_open,2025-04-04 08:32:00,home,22,Екатеринбург,base
1524,pay_bill,2025-04-20 22:01:00,home,32,Нижний Новгород,premium
995,view_banner,2025-04-24 11:01:00,promo,66,Краснодар,premium
1802,open_deposit,2025-04-18 10:39:00,deposits,43,Казань,base
1922,view_banner,2025-04-10 16:20:00,promo,62,Краснодар,base
536,click_banner,2025-04-08 12:50:00,promo,18,Казань,base
368,view_banner,2025-04-15 15:41:00,promo,68,Москва,base
371,view_banner,2025-04-29 16:43:00,promo,62,Санкт-Петербург,base
1101,app_open,2025-04-18 11:07:00,home,36,Казань,base
785,view_banner,2025-04-16 20:20:00,promo,21,Новосибирск,premium
1263,app_open,2025-04-08 18:35:00,home,38,Новосибирск,base
1101,app_open,2025-04-21 21:57:00,home,36,Казань,base
1124,app_open,2025-04-20 19:06:00,home,28,Краснодар,base
647,view_banner,2025-04-25 18:15:00,promo,44,Санкт-Петербург,premium
632,app_open,2025-04-23 12:43:00,home,40,Санкт-Петербург,base
1264,click_banner,2025-04-08 21:32:00,promo,64,Казань,base
1867,app_open,2025-04-18 07:19:00,home,20,Нижний Новгород,base
1715,app_open,2025-04-28 13:24:00,home,42,Нижний Новгород,base
731,app_open,2025-04-24 11:57:00,home,38,Москва,base
933,app_open,2025-04-30 19:23:00,home,23,Новосибирск,premium
141,view_banner,2025-04-01 22:40:00,promo,68,Нижний Новгород,base
789,view_profile,2025-04-14 11:56:00,profile,40,Нижний Новгород,premium
1982,app_open,2025-04-18 18:48:00,home,36,Казань,base
275,app_open,2025-04-12 17:09:00,home,47,Санкт-Петербург,base
1006,transfer,2025-04-07 19:17:00,transfers,50,Новосибирск,base
1021,transfer,2025-04-17 18:36:00,transfers,45,Москва,base
251,app_open,2025-04-02 19:18:00,home,31,Москва,base
1169,view_profile,2025-04-17 11:58:00,profile,69,Краснодар,base
340,view_banner,2025-04-13 13:49:00,promo,67,Екатеринбург,base
1880,app_open,2025-04-07 20:49:00,home,29,Санкт-Петербург,base
1351,view_banner,2025-04-16 21:54:00,promo,38,Краснодар,base
390,pay_bill,2025-04-03 17:24:00,home,66,Новосибирск,base
481,view_banner,2025-04-16 17:21:00,promo,55,Екатеринбург,base
1028,app_open,2025-04-15 21:18:00,home,23,Казань,premium
265,app_open,2025-04-09 07:55:00,home,65,Краснодар,base
1907,app_open,2025-04-29 08:31:00,home,61,Краснодар,base
1581,click_banner,2025-04-15 16:09:00,promo,44,Екатеринбург,base
1354,app_open,2025-04-21 13:21:00,home,29,Екатеринбург,base
1552,open_deposit,2025-04-04 18:02:00,deposits,36,Санкт-Петербург,base
511,app_open,2025-04-26 09:06:00,home,25,Москва,base
392,view_banner,2025-04-09 20:32:00,promo,24,Нижний Новгород,base
1316,pay_bill,2025-04-17 17:47:00,home,49,Краснодар,base
1970,view_profile,2025-04-12 11:48:00,profile,62,Казань,base
1352,app_open,2025-04-26 12:38:00,home,48,Новосибирск,premium
1102,transfer,2025-04-20 08:04:00,transfers,67,Москва,base
1854,app_open,2025-04-03 17:09:00,home,48,Москва,base
643,open_deposit,2025-04-30 14:29:00,deposits,55,Казань,base
169,transfer,2025-04-14 08:25:00,transfers,45,Москва,base
1666,view_profile,2025-04-22 15:13:00,profile,19,Новосибирск,premium
1341,app_open,2025-04-01 12:08:00,home,38,Екатеринбург,base
238,app_open,2025-04-09 14:05:00,home,58,Казань,base
1459,app_open,2025-04-03 18:44:00,home,63,Нижний Новгород,base
1591,pay_bill,2025-04-19 09:07:00,home,35,Екатеринбург,premium
884,app_open,2025-04-02 16:48:00,home,28,Москва,base
1360,app_open,2025-04-04 13:31:00,home,62,Казань,base
1603,open_deposit,2025-04-06 12:32:00,deposits,25,Краснодар,base
1235,app_open,2025-04-21 10:59:00,home,58,Новосибирск,base
695,app_open,2025-04-19 22:54:00,home,49,Новосибирск,base
431,app_open,2025-04-18 14:53:00,home,31,Краснодар,base
883,view_banner,2025-04-09 11:13:00,promo,39,Нижний Новгород,base
400,app_open,2025-04-30 21:36:00,home,36,Краснодар,premium
1737,click_banner,2025-04-24 17:26:00,promo,36,Нижний Новгород,base
66,pay_bill,2025-04-06 19:25:00,home,38,Санкт-Петербург,premium
534,transfer,2025-04-30 18:40:00,transfers,68,Новосибирск,base
1350,app_open,2025-04-20 06:50:00,home,31,Новосибирск,base
125,view_banner,2025-04-29 20:05:00,promo,69,Санкт-Петербург,base
1492,app_open,2025-04-11 17:57:00,home,21,Екатеринбург,base
895,app_open,2025-04-30 16:14:00,home,56,Санкт-Петербург,premium
1228,app_open,2025-04-02 10:30:00,home,20,Краснодар,base
1832,app_open,2025-04-15 12:18:00,home,24,Нижний Новгород,premium
207,transfer,2025-04-09 11:10:00,transfers,48,Новосибирск,premium
1225,transfer,2025-04-10 16:32:00,transfers,54,Москва,base
250,transfer,2025-04-14 22:01:00,transfers,27,Краснодар,base
591,view_profile,2025-04-06 13:04:00,profile,41,Екатеринбург,base
48,open_deposit,2025-04-26 09:24:00,deposits,55,Екатеринбург,base
